周,0-4,5-12,13-18,19-24,25-34,35-44,45-55,55-65,65-75,75-85,85-
43,210,433,210,388,,369,,,327,238,
44,296,619,,835,576,591,,,453,267,156
45,407,768,407,906,639,633,,,449,308,162
46,438,980,438,833,,736,,557,480,272,184
47,476,1108,476,870,,750,,513,445,227,147
48,547,1342,547,834,,866,691,,395,180,113
49,483,1049,,732,732,772,607,,276,105,105
50,485,862,485,1142,,839,656,480,253,115,115
51,441,719,719,1958,1549,968,712,500,218,144,144
52,596,994,1550,3346,2227,1548,1279,851,392,296,296
1,825,1342,2096,4219,2914,2317,1823,,715,509,509
2,989,,,3726,,,,1340,790,654,654
3,1420,2015,2753,3375,2614,2431,2126,,980,781,904
